file_name,p_circle,p_line
1.png,0.9,0.1
2.png,0.1,0.9
3.png,0.1,0.9
4.png,0.9,0.1
5.png,0.1,0.9
6.png,0.1,0.9
7.png,0.9,0.1
8.png,0.1,0.9
9.png,0.9,0.1
10.png,0.1,0.9
11.png,0.1,0.9
12.png,0.1,0.9
13.png,0.9,0.1
14.png,0.1,0.9
15.png,0.1,0.9
16.png,0.1,0.9
17.png,0.1,0.9
18.png,0.9,0.1
19.png,0.1,0.9
20.png,0.9,0.1
21.png,0.9,0.1
22.png,0.9,0.1
23.png,0.1,0.9
24.png,0.1,0.9
25.png,0.9,0.1
26.png,0.9,0.1
27.png,0.1,0.9
28.png,0.9,0.1
29.png,0.9,0.1
30.png,0.9,0.1
31.png,0.1,0.9
32.png,0.9,0.1
33.png,0.9,0.1
34.png,0.1,0.9
35.png,0.1,0.9
36.png,0.1,0.9
37.png,0.1,0.9
38.png,0.1,0.9
39.png,0.1,0.9
40.png,0.9,0.1
